Flu Influenza Shot Sick Fever Infection Stomach Headache Antibiotics Paracetamol
3649 291 41 14 9 3900 3585 9 272 16
3694 294 41 14 9 3919 3637 9 275 16
3737 300 42 14 9 3934 3661 9 275 16
3797 301 42 14 9 4000 3732 9 277 16
3880 305 43 14 9 4027 3795 9 282 16
3932 312 43 14 9 4116 3825 9 289 16
3978 313 43 14 9 4213 3855 9 295 16
3980 314 44 14 9 4216 3891 9 299 16
3986 318 44 14 9 4270 3913 9 305 16
4017 323 44 14 9 4357 3921 9 306 16
4038 329 45 14 9 4442 3992 9 311 16
4111 331 45 14 9 4473 4005 9 313 16
4128 333 46 14 9 4571 4010 9 320 16
4214 338 47 14 9 4626 4064 9 327 16
4216 343 47 14 9 4694 4113 9 331 16
4247 348 48 14 9 4723 4205 9 334 16
4260 355 49 14 9 4729 4249 9 340 16
4310 358 49 14 9 4786 4308 9 341 16
4382 362 49 14 9 4821 4339 9 348 16
4386 362 50 14 9 4839 4370 9 354 16
4388 368 51 14 9 4864 4420 9 356 16
4478 373 52 14 9 4893 4439 9 363 16
4484 376 52 14 9 4973 4472 9 369 16
4492 378 53 14 9 5033 4545 9 373 16
4568 379 54 14 9 5034 4563 9 375 16
4573 386 54 14 9 5063 4630 9 375 16
4624 390 54 14 9 5080 4715 9 376 16
4713 391 54 14 9 5102 4789 9 383 16
4781 391 54 14 9 5146 4850 9 384 16
4880 395 55 14 9 5175 4876 9 389 16
4926 395 55 14 9 5181 4903 9 395 16
4952 398 56 14 9 5251 4903 9 400 16
4991 398 56 14 9 5291 4905 9 402 16
5006 398 56 14 9 5337 4969 9 403 16
5082 398 57 14 9 5432 4998 9 405 16
5088 402 57 14 9 5490 5058 9 405 16
5090 409 58 14 9 5550 5111 9 409 16
5148 410 58 14 9 5586 5123 9 415 16
5152 416 59 14 9 5651 5188 9 417 16
5186 421 59 14 9 5699 5196 9 420 16
5272 421 60 14 9 5782 5197 9 422 16
5329 421 61 14 9 5853 5275 9 425 16
5349 423 62 14 9 5886 5323 9 432 16
5395 430 62 14 9 5898 5399 9 438 16
5417 432 62 14 9 5950 5425 9 439 16
5510 439 63 14 9 6024 5460 9 440 16
5533 440 63 14 9 6042 5480 9 446 16
5599 443 63 14 9 6097 5545 9 446 16
5618 450 63 14 9 6097 5583 9 451 16
5665 452 64 14 9 6123 5677 9 455 16
5678 455 64 14 9 6133 5686 9 462 16
5773 457 64 14 9 6136 5738 9 464 16
5864 464 65 14 9 6180 5762 9 467 16
5951 471 65 14 9 6268 5833 9 472 16
6048 472 66 14 9 6349 5888 9 474 16
6139 478 66 14 9 6398 5939 9 474 16
6164 482 67 14 9 6438 5943 9 479 16
6190 482 67 14 9 6494 5959 9 480 16
6282 489 68 14 9 6504 6033 9 485 16
6292 490 68 14 9 6582 6071 9 485 16
6301 492 69 14 9 6661 6153 9 485 16
6327 495 70 14 9 6687 6251 9 486 16
6336 500 70 14 9 6710 6291 9 491 165.6
6389 503 71 14 9 6740 6326 9 498 16
6417 506 71 14 9 6820 6393 9 503 16
6418 513 72 14 9 6891 6457 9 503 16
6439 518 72 14 9 6978 6548 9 507 16
6511 524 72 14 9 7035 6571 9 513 16
6590 527 73 14 9 7055 6656 9 513 16
6628 533 74 14 9 7104 6727 9 520 16
6677 534 74 14 9 7147 6738 9 521 16
6678 541 75 14 9 7222 6750 9 521 16
6765 542 75 14 9 7254 6826 9 521 16
6785 543 75 14 9 7266 6905 9 525 16
6808 545 76 14 9 7268 6907 9 530 16
6825 549 76 14 9 7275 6925 9 531 16
6880 549 77 14 9 7348 6985 9 533 16
6890 552 78 14 9 7348 6996 9 537 16
6956 553 78 14 9 7371 7018 9 540 16
7034 560 78 14 9 7440 7063 9 540 16
7102 567 78 14 9 7525 7137 9 545 16
7198 571 78 14 9 7607 7164 9 549 16
7236 572 79 14 9 7658 7217 9 550 16
7316 573 80 14 9 7682 7242 9 556 16
7337 576 80 14 9 7683 7273 9 557 16
7416 579 80 14 9 7767 7300 9 558 16
7423 582 80 14 9 7835 7354 9 558 16
7460 583 81 14 9 7930 7437 9 559 16
7543 590 81 14 9 7937 7442 9 560 16
7620 596 82 14 9 8024 7475 9 564 16
7697 596 82 14 9 8070 7572 9 564 16
7722 599 82 14 9 8091 7644 9 569 16
7743 602 83 14 9 8108 7731 9 573 16
7835 604 83 14 9 8156 7781 9 576 16
7916 607 83 14 9 8208 7838 9 578 16
7930 607 84 14 9 8257 7919 9 583 16
7996 608 85 14 9 8333 8010 9 587 16
8040 611 85 14 9 8378 8080 9 594 16
8084 617 86 14 9 8392 8088 9 598 16
8129 619 86 14 9 8490 8158 9 605 16
8150 626 86 14 9 8547 8180 9 611 16
8203 629 86 14 9 8591 8219 9 612 16
8268 630 86 14 9 8594 8276 9 613 16
8314 631 87 14 9 8672 8328 9 619 16
8357 638 87 14 9 8713 8387 9 622 16
8372 642 87 14 9 8766 8461 9 625 16
8380 643 88 14 9 8827 8467 9 628 16
8454 648 88 14 9 8900 8530 9 628 16
8541 651 89 14 9 8923 8588 9 633 16
8595 658 89 14 9 8975 8678 9 633 16
8647 661 90 14 9 8994 8703 9 636 16
8712 664 91 14 9 9087 8718 9 637 16
8803 670 91 14 9 9154 8774 9 641 16
8860 673 92 14 9 9241 8803 9 647 16
8913 680 92 14 9 9329 8893 9 651 16
8964 687 93 14 9 9383 8986 9 658 16
8996 694 93 14 9 9466 9075 9 659 16
9022 696 94 14 9 9514 9084 9 664 16
9104 701 94 14 9 9519 9129 9 669 16
9137 708 95 14 9 9526 9160 9 676 16
9228 712 95 14 9 9546 9226 9 677 16
9284 713 96 14 9 9572 9277 9 677 16
9328 715 96 14 9 9612 9348 9 682 16
9387 719 96 14 9 9613 9400 9 683 16
9480 726 96 14 9 9619 9488 9 688 16
9524 726 97 14 9 9660 9510 9 690 16
9615 731 97 14 9 9673 9606 9 690 16
9655 738 98 14 9 9736 9659 9 692 16
9742 740 99 14 9 9739 9728 9 699 16
9772 747 99 14 9 9799 9809 9 704 16
9792 753 100 14 9 9830 9905 9 708 16
9887 756 100 14 9 9901 9983 9 712 16
9926 761 101 14 9 9919 10040 9 712 16
10007 768 102 14 9 9965 10102 9 719 16
10059 775 102 14 9 9999 10139 9 719 16
10100 780 103 14 9 10095 10170 9 722 16
10122 787 103 14 9 10115 10215 9 729 16
10131 792 103 14 9 10138 10253 9 732 16
10198 794 104 14 9 10151 10301 9 736 16
10214 797 104 14 9 10209 10355 9 738 16
10273 801 105 14 9 10216 10430 9 742 16
10343 808 106 14 9 10271 10528 9 747 16
10386 815 106 14 9 10361 10625 9 748 16
10477 818 107 14 9 10429 10638 9 748 16
10522 824 108 14 9 10473 10723 9 749 16
10552 830 108 14 9 10517 10784 9 751 16
10587 834 108 14 9 10604 10826 9 757 16
10664 840 109 14 9 10669 10885 9 764 16
10731 841 110 14 9 10693 10911 9 765 16
10752 846 110 14 9 10704 10988 9 772 16
10766 847 110 14 9 10775 10995 9 774 16
10784 854 111 14 9 10793 11062 9 776 16
10811 860 111 14 9 10889 11132 9 776 16
10895 863 112 14 9 10968 11178 9 781 16
10928 866 112 14 9 10972 11209 9 782 16
11021 869 113 14 9 10995 11240 9 785 16
11023 871 113 14 9 11054 11249 9 789 16
11082 873 113 14 9 11085 11274 9 793 16
11097 877 114 14 9 11171 11284 9 793 16
11119 882 114 14 9 11239 11372 9 794 16
11121 882 114 14 9 11330 11372 9 801 16
11205 887 114 14 9 11344 11455 9 803 16
11282 887 115 14 9 11381 11492 9 808 16
11377 887 116 14 9 11398 11543 9 809 16
11434 889 116 14 9 11471 11617 9 816 16
11511 889 116 14 9 11567 11694 9 822 16
11512 894 117 14 9 11616 11768 9 824 16
11543 898 117 14 9 11639 11860 9 824 16
11594 901 117 14 9 11680 11879 9 827 16
11613 905 117 14 9 11773 11935 9 828 16
11614 912 117 14 9 11835 11942 9 832 16
11683 916 118 14 9 11835 12022 9 838 16
11726 916 119 14 9 11884 12054 9 845 16
11792 920 119 14 9 11966 12060 9 850 16
11816 927 120 14 9 12012 12153 9 850 16
11823 927 120 14 9 12043 12193 9 854 16
11878 929 121 14 9 12060 12244 9 854 16
11920 931 121 14 9 12077 12254 9 854 16
11944 931 121 14 9 12161 12286 9 855 16
12017 938 121 14 9 12186 12294 9 860 16
12087 939 122 14 9 12209 12348 9 862 16
12177 943 123 14 9 12267 12374 9 862 16
12259 949 124 14 9 12360 12381 9 869 16
12300 953 124 14 9 12361 12437 9 870 16
12334 953 124 14 9 12384 12481 9 875 16
12335 955 124 14 9 12410 12489 9 878 16
12342 960 125 14 9 12493 12580 9 883 16
12426 963 125 14 9 12511 12603 9 885 16
12513 964 126 14 9 12561 12660 9 886 16
12516 964 127 14 9 12660 12675 9 888 16
12599 965 127 14 9 12670 12686 9 894 16
12611 972 128 14 9 12733 12703 9 898 16
12704 972 128 14 9 12770 12729 9 903 16
12711 975 128 14 9 12800 12753 9 906 16
12743 981 128 14 9 12871 12788 9 911 16
12799 984 129 14 9 12932 12802 9 916 16
12836 991 130 14 9 13031 12841 9 920 16
12920 991 130 14 9 13116 12924 9 921 16
12988 993 130 14 9 13171 12969 9 924 16
13036 993 131 14 9 13191 13029 9 924 16
13051 998 132 14 9 13225 13078 9 931 16
13085 1005 132 14 9 13225 13094 9 937 16
13152 1007 132 14 9 13225 13127 9 938 16
13203 1010 133 14 9 13225 13173 9 940 16
13241 1011 133 14 9 13225 13192 9 942 16
13334 1012 133 14 9 13225 13194 9 948 16
13357 1019 133 14 9 13225 13261 9 954 16
13394 1023 134 14 9 13225 13289 9 960 16
13414 1027 135 14 9 13225 13381 9 964 16
13493 1034 136 14 9 13225 13425 9 970 16
13537 1039 136 14 9 13225 13459 9 973 16
13635 1041 136 14 9 13225 13486 9 975 16
13672 1048 136 14 9 13225 13514 9 981 16
13681 1053 137 14 9 13225 13576 9 984 16
13740 1053 138 14 9 13225 13641 9 986 16
13835 1058 139 14 9 13225 13684 9 989 16
13909 1059 139 14 9 13225 13716 9 995 16
13995 1065 139 14 9 13225 13800 9 1001 16
14050 1065 140 14 9 13225 13853 9 1008 16
14091 1065 141 14 9 13225 13881 9 1011 16
14108 1068 141 14 9 13225 13943 9 1013 16
14140 1069 142 14 9 13225 14029 9 1018 16
14152 1073 143 14 9 13225 14049 9 1018 16
14162 1076 143 14 9 13225 14097 9 1019 16
14224 1079 143 14 9 13225 14153 9 1020 16
14285 1085 144 14 9 13225 14163 9 1023 16
14330 1087 144 14 9 13225 14257 9 1024 16
14389 1092 144 14 9 13225 14319 9 1031 16
14451 1093 144 14 9 13225 14386 9 1034 16
14504 1093 144 14 9 13225 14409 9 1036 16
14575 1094 145 14 9 13225 14474 9 1039 16
14602 1098 145 14 9 13225 14489 9 1039 16
14672 1105 146 14 9 13225 14556 9 1042 16
14689 1107 146 14 9 13225 14574 9 1045 16
14743 1110 147 14 9 13225 14665 9 1046 16
14769 1111 147 14 9 13225 14700 9 1053 16
14855 1117 148 14 9 13225 14731 9 1055 16
14857 1121 148 14 9 13225 14792 9 1056 16
14894 1121 149 14 9 13225 14847 9 1058 16
14981 1128 150 14 9 13225 14896 9 1065 16
15025 1129 150 14 9 13225 14981 9 1069 16
15077 1130 151 14 9 13225 15034 9 1070 16
15170 1137 152 14 9 13225 15046 9 1076 16
15172 1138 152 14 9 13225 15057 9 1079 16
15215 1139 153 14 9 13225 15091 9 1084 16
15224 1141 154 14 9 13225 15127 9 1091 16
15250 1142 154 14 9 13225 15200 9 1096 16
15291 1144 154 14 9 13225 15298 9 1103 16
15307 1151 155 14 9 13225 15318 9 1108 16
15393 1154 156 14 9 13225 15354 9 1110 16
15411 1160 157 14 9 13225 15365 9 1116 16
15483 1161 157 14 9 13225 15419 9 1118 16
15497 1168 157 14 9 13225 15514 9 1119 16
15551 1173 158 14 9 13225 15559 9 1122 16
15607 1180 158 14 9 13225 15619 9 1123 16
15686 1181 158 14 9 13225 15634 9 1124 16
15744 1185 159 14 9 13225 15665 9 1128 16
15803 1187 160 14 9 13225 15689 9 1130 16
15889 1191 161 14 9 13225 15750 9 1133 16
15935 1195 161 14 9 13225 15781 9 1133 16
15987 1195 161 14 9 13225 15872 9 1137 16
16063 1198 162 14 9 13225 15932 9 1138 16
16100 1198 162 14 9 13225 15959 9 1140 16
16134 1200 163 14 9 13225 16052 9 1143 16
16139 1207 163 14 9 13225 16144 9 1150 16
16185 1214 164 14 9 13225 16225 9 1150 16
16229 1215 164 14 9 13225 16303 9 1154 16
16301 1220 165 14 9 13225 16328 9 1161 16
16341 1223 165 14 9 13225 16360 9 1164 16
16357 1227 165 14 9 13225 16363 9 1165 16
16440 1228 166 14 9 13225 16450 9 1172 16
16503 1230 166 14 9 13225 16457 9 1179 16
16527 1230 167 14 9 13225 16534 9 1184 16
16618 1234 168 14 9 13225 16604 9 1190 16
16622 1240 169 14 9 13225 16694 9 1195 16
16641 1241 169 14 9 13225 16735 9 1196 16
16680 1243 169 14 9 13225 16787 9 1196 16
16715 1244 170 14 9 13225 16840 9 1199 16
16768 1250 170 14 9 13225 16847 9 1201 16
16806 1251 171 14 9 13225 16903 9 1202 16
16881 1258 172 14 9 13225 16929 9 1206 16
16907 1265 172 14 9 13225 16939 9 1210 16
16917 1269 173 14 9 13225 16987 9 1214 16
16940 1275 174 14 9 13225 17084 9 1217 16
17006 1279 174 14 9 13225 17145 9 1223 16
17081 1279 175 14 9 13225 17244 9 1230 16
17099 1283 175 14 9 13225 17281 9 1232 16
17175 1283 176 14 9 13225 17370 9 1233 16
17246 1288 176 14 9 13225 17380 9 1234 16
17300 1293 177 14 9 13225 17419 9 1240 16
17353 1296 177 14 9 13225 17441 9 1247 16
17406 1296 178 14 9 13225 17465 9 1250 16
17435 1301 179 14 9 13225 17467 9 1257 16
17438 1302 179 14 9 13225 17471 9 1261 16
17490 1302 179 14 9 13225 17544 9 1265 16
17575 1306 179 14 9 13225 17569 9 1272 16
17592 1310 180 14 9 13225 17570 9 1279 16
17684 1313 180 14 9 13225 17662 9 1285 16
17750 1318 181 14 9 13225 17744 9 1292 16
17786 1322 181 14 9 13225 17771 9 1292 16
17809 1324 182 14 9 13225 17819 9 1297 16
17823 1329 182 14 9 13225 17866 9 1301 16
17893 1332 183 14 9 13225 17883 9 1302 16
17894 1337 183 14 9 13225 17944 9 1308 16
17902 1341 183 14 9 13225 18031 9 1309 16
17989 1343 184 14 9 13225 18057 9 1315 16
18028 1345 184 14 9 13225 18065 9 1316 16
18096 1352 185 14 9 13225 18097 9 1316 16
18192 1355 185 14 9 13225 18178 9 1316 16
18234 1361 186 14 9 13225 18220 9 1318 16
18240 1364 186 14 9 13225 18222 9 1323 16
18264 1369 186 14 9 13225 18307 9 1326 16
18346 1372 187 14 9 13225 18360 9 1331 16
18409 1374 187 14 9 13225 18440 9 1332 16
18410 1379 188 14 9 13225 18462 9 1333 16
18436 1383 188 14 9 13225 18517 9 1336 16
18476 1387 189 14 9 13225 18577 9 1336 16
18489 1389 190 14 9 13225 18635 9 1343 16
18569 1396 190 14 9 13225 18662 9 1348 16
18656 1398 190 14 9 13225 18716 9 1349 16
18737 1405 190 14 9 13225 18794 9 1354 16
18741 1410 190 14 9 13225 18853 9 1355 16
18762 1414 191 14 9 13225 18920 9 1362 16
18770 1414 192 14 9 13225 18993 9 1362 16
18841 1421 192 14 9 13225 19057 9 1369 16
18864 1427 193 14 9 13225 19096 9 1371 16
18906 1433 194 14 9 13225 19151 9 1376 16
18980 1437 194 14 9 13225 19216 9 1382 16
19033 1444 195 14 9 13225 19228 9 1384 16
19068 1445 195 14 9 13225 19259 9 1386 16
19134 1452 196 14 9 13225 19304 9 1392 16
19204 1458 196 14 9 13225 19320 9 1398 16
19294 1465 196 14 9 13225 19331 9 1398 16
19360 1472 197 14 9 13225 19354 9 1399 16
19390 1477 197 14 9 13225 19438 9 1406 16
19427 1479 198 14 9 13225 19492 9 1412 16
19428 1483 198 14 9 13225 19553 9 1416 16
19503 1484 199 14 9 13225 19563 9 1422 16
19512 1491 200 14 9 13225 19648 9 1424 16
19563 1494 200 14 9 13225 19670 9 1429 16
19585 1500 200 14 9 13225 19752 9 1434 16
19591 1500 201 14 9 13225 19804 9 1437 16
19690 1504 201 14 9 13225 19889 9 1442 16
19738 1506 202 14 9 13225 19920 9 1443 16
19771 1509 203 14 9 13225 19987 9 1450 16
19831 1512 204 14 9 13225 20053 9 1453 16
19890 1515 204 14 9 13225 20086 9 1458 16
19988 1518 204 14 9 13225 20163 9 1464 16
20045 1519 204 14 9 13225 20166 9 1464 16
20094 1526 205 14 9 13225 20194 9 1467 16
20099 1530 206 14 9 13225 20271 9 1469 16
20137 1537 206 14 9 13225 20314 9 1475 16
20227 1540 206 14 9 13225 20335 9 1479 16
20303 1542 206 14 9 13225 20365 9 1482 16
20362 1546 206 14 9 13225 20392 9 1486 16
20418 1547 207 14 9 13225 20447 9 1488 16
20423 1554 207 14 9 13225 20452 9 1489 16
20516 1559 208 14 9 13225 20452 9 1493 16
20524 1562 208 14 9 13225 20540 9 1499 16
20570 1569 208 14 9 13225 20592 9 1506 16
20605 1576 209 14 9 13225 20620 9 1507 16
20698 1582 209 14 9 13225 20713 9 1514 16
20754 1583 210 14 9 13225 20796 9 1519 16
20834 1589 211 14 9 13225 20833 9 1519 16
20842 1594 211 14 9 13225 20855 9 1520 16
20862 1596 212 14 9 13225 20931 9 1522 16
20885 1599 213 14 9 13225 20943 9 1524 16
20888 1602 214 14 9 13225 20958 9 1526 16
20941 1608 214 14 9 13225 21019 9 1533 16
20954 1613 214 14 9 13225 21069 9 1533 16
21052 1615 215 14 9 13225 21136 9 1539 16
21087 1615 215 14 9 13225 21219 9 1545 16
21166 1621 215 14 9 13225 21292 9 1547 16
21231 1627 216 14 9 13225 21372 9 1553 16
21233 1633 217 14 9 13225 21428 9 1559 16
21268 1633 218 14 9 13225 21486 9 1565 16
21344 1634 218 14 9 13225 21506 9 1565 16
21391 1640 219 14 9 13225 21510 9 1571 16
21471 1645 220 14 9 13225 21532 9 1571 16
21547 1646 221 14 9 13225 21557 9 1577 16
21569 1648 221 14 9 13225 21596 9 1577 16
21569 1650 221 14 9 13225 21686 9 1577 16
21662 1650 222 14 9 13225 21767 9 1580 16
21679 1656 223 14 9 13225 21777 9 1583 16
21710 1656 223 14 9 13225 21815 9 1590 16
21774 1662 223 14 9 13225 21913 9 1595 16
21788 1667 224 14 9 13225 21952 9 1596 16
21828 1674 224 14 9 13225 21986 9 1596 16
21889 1674 224 14 9 13225 22016 9 1597 16
21939 1680 224 14 9 13225 22054 9 1600 16
21977 1683 225 14 9 13225 22063 9 1607 16
21993 1687 226 14 9 13225 22151 9 1610 16
22078 1693 226 14 9 13225 22216 9 1616 16
22102 1700 226 14 9 13225 22270 9 1621 16
22108 1706 226 14 9 13225 22279 9 1623 16
22195 1708 227 14 9 13225 22374 9 1628 16
22278 1713 227 14 9 13225 22416 9 1629 16
22321 1717 228 14 9 13225 22423 9 1633 16
22354 1720 228 14 9 13225 22517 9 1640 16
22390 1723 229 14 9 13225 22582 9 1642 16
22427 1723 230 14 9 13225 22603 9 1649 16
22469 1725 230 14 9 13225 22646 9 1649 16
22523 1728 230 14 9 13225 22743 9 1652 16
22572 1735 230 14 9 13225 22815 9 1655 16
22612 1740 231 14 9 13225 22835 9 1656 16
22697 1740 231 14 9 13225 22845 9 1658 16
22764 1744 232 14 9 13225 22929 9 1658 16
22766 1749 232 14 9 13225 23028 9 1659 16
22788 1753 232 14 9 13225 23102 9 1663 16
22808 1754 233 14 9 13225 23150 9 1665 16
22872 1755 233 14 9 13225 23249 9 1667 16
22943 1758 233 14 9 13225 23264 9 1667 16
22944 1765 234 14 9 13225 23357 9 1669 16
22988 1770 234 14 9 13225 23421 9 1671 16
23035 1776 235 14 9 13225 23512 9 1673 16
23074 1781 235 14 9 13225 23547 9 1676 16
23142 1787 236 14 9 13225 23596 9 1678 16
23170 1793 236 14 9 13225 23611 9 1679 16
23235 1799 237 14 9 13225 23643 9 1684 16
23310 1805 238 14 9 13225 23684 9 1691 16
23354 1812 239 14 9 13225 23698 9 1696 16
23432 1818 239 14 9 13225 23745 9 1700 16
23498 1820 239 14 9 13225 23843 9 1707 16
23581 1823 240 14 9 13225 23847 9 1710 16
23607 1826 240 14 9 13225 23889 9 1714 16
23648 1827 241 14 9 13225 23941 9 1716 16
23708 1830 241 14 9 13225 23986 9 1718 16
23758 1834 241 14 9 13225 24034 9 1719 16
23828 1836 242 14 9 13225 24129 9 1725 16
23889 1837 243 14 9 13225 24189 9 1732 16
23939 1837 243 14 9 13225 24262 9 1733 16
23968 1840 244 14 9 13225 24298 9 1740 16
24051 1847 244 14 9 13225 24380 9 1743 16
24080 1848 245 14 9 13225 24385 9 1748 16
24115 1855 245 14 9 13225 24469 9 1751 16
24175 1857 246 14 9 13225 24529 9 1752 16
24189 1862 246 14 9 13225 24606 9 1753 16
24194 1867 246 14 9 13225 24686 9 1757 16
24268 1871 247 14 9 13225 24772 9 1763 16
24315 1878 247 14 9 13225 24816 9 1764 16
24344 1883 248 14 9 13225 24842 9 1765 16
24408 1886 248 14 9 13225 24850 9 1767 16
24497 1893 248 14 9 13225 24859 9 1770 16
24580 1895 249 14 9 13225 24880 9 1775 16
24592 1901 250 14 9 13225 24888 9 1775 16
24680 1905 250 14 9 13225 24913 9 1781 16
24708 1908 250 14 9 13225 24992 9 1787 16
24717 1908 250 14 9 13225 25032 9 1787 16
24741 1908 251 14 9 13225 25129 9 1790 16
24816 1908 252 14 9 13225 25140 9 1795 16
24846 1915 252 14 9 13225 25168 9 1799 16
24945 1917 252 14 9 13225 25250 9 1801 16
24987 1923 252 14 9 13225 25270 9 1803 16
25041 1928 253 14 9 13225 25316 9 1805 16
25127 1935 253 14 9 13225 25383 9 1806 16
25134 1939 254 14 9 13225 25423 9 1809 16
25212 1946 255 14 9 13225 25491 9 1816 16
25274 1947 255 14 9 13225 25492 9 1818 16
25345 1947 256 14 9 13225 25495 9 1825 16
25375 1952 256 14 9 13225 25584 9 1832 16
25429 1952 257 14 9 13225 25611 9 1837 16
25487 1958 257 14 9 13225 25705 9 1844 16
25531 1962 257 14 9 13225 25737 9 1845 16
25599 1963 258 14 9 13225 25818 9 1846 16
25646 1963 258 14 9 13225 25916 9 1850 16
25722 1965 259 14 9 13225 25964 9 1855 16
25818 1966 260 14 9 13225 25986 9 1859 16
25891 1968 260 14 9 13225 26021 9 1860 16
25984 1972 261 14 9 13225 26048 9 1862 16
26075 1979 262 14 9 13225 26122 9 1863 16
26084 1983 262 14 9 13225 26199 9 1867 16
26096 1986 262 14 9 13225 26246 9 1873 16
26157 1992 263 14 9 13225 26301 9 1876 16
26172 1997 264 14 9 13225 26383 9 1876 16
26216 2004 264 14 9 13225 26416 9 1877 16
26301 2010 265 14 9 13225 26455 9 1878 16
26366 2010 265 14 9 13225 26493 9 1885 16
26441 2010 266 14 9 13225 26531 9 1889 16
26515 2013 266 14 9 13225 26602 9 1894 16
26604 2019 267 14 9 13225 26683 9 1899 16
26653 2023 267 14 9 13225 26734 9 1906 16
26675 2026 268 14 9 13225 26770 9 1907 16
26744 2026 268 14 9 13225 26788 9 1911 16
26792 2028 269 14 9 13225 26877 9 1915 16
26875 2034 269 14 9 13225 26972 9 1919 16
26914 2038 270 14 9 13225 26981 9 1925 16
26950 2039 271 14 9 13225 27065 9 1929 16
27037 2040 271 14 9 13225 27104 9 1934 16
27089 2046 272 14 9 13225 27130 9 1936 16
27174 2051 273 14 9 13225 27167 9 1943 16
27242 2057 273 14 9 13225 27266 9 1944 16
27315 2058 273 14 9 13225 27272 9 1949 16
27349 2065 273 14 9 13225 27336 9 1952 16
27445 2069 274 14 9 13225 27416 9 1954 16
27472 2076 274 14 9 13225 27452 9 1957 16
27507 2080 275 14 9 13225 27511 9 1961 16
27584 2085 275 14 9 13225 27556 9 1965 16
27603 2086 275 14 9 13225 27604 9 1970 16
27660 2086 276 14 9 13225 27696 9 1973 16
27680 2089 277 14 9 13225 27717 9 1979 16
27779 2095 277 14 9 13225 27730 9 1982 16
27806 2101 278 14 9 13225 27814 9 1982 16
27886 2107 278 14 9 13225 27850 9 1986 16
27898 2107 279 14 9 13225 27864 9 1989 16
27957 2111 279 14 9 13225 27925 9 1995 16
28030 2111 280 14 9 13225 27996 9 1999 16
28082 2115 280 14 9 13225 28041 9 2005 16
28133 2122 281 14 9 13225 28082 9 2011 16
28231 2128 282 14 9 13225 28171 9 2013 16
